"version","direction","valid","invalid_reason","result","damaging_hits","bullets","hit_rate","arrival_lock","arrival_final_error_deg","retained_bias_deg","centered_from_drive","drive_samples","drive_mean_target_error_deg","drive_final_target_error_deg","log_file"
"v4p","negative","False","startup takeover gate never passed",,,,,"false","19.1","0",,"23","6.9","19.1","logs/drive_aim_v4p_control_integral_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_165244.log"
"v4p","negative","True","valid","PARTIAL","18","30","0.6","true","1.1","-0.6",,"20","21.1","1.1","logs/drive_aim_v4p_control_integral_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_165351.log"
"v4p","negative","True","valid","PARTIAL","24","30","0.8","true","1.5","8.8",,"21","17.2","1.5","logs/drive_aim_v4p_control_integral_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_165445.log"
"v4q","negative","True","valid","PARTIAL","20","30","0.667","true","1.8","-2.2","false","19","19.3","1.8","logs/drive_aim_v4q_centered_handoff_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_165756.log"
"v4q","negative","True","valid","PARTIAL","27","30","0.9","true","0","0","true","22","7.4","0","logs/drive_aim_v4q_centered_handoff_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_165850.log"
"v4q","negative","True","valid","PARTIAL","25","30","0.833","true","0.1","-0","true","19","8.5","0.1","logs/drive_aim_v4q_centered_handoff_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_165943.log"
"v4q","negative","True","valid","PARTIAL","25","30","0.833","true","0.1","0","true","19","21.2","0.1","logs/drive_aim_v4q_centered_handoff_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_170035.log"
"v4q","negative","True","valid","PARTIAL","23","30","0.767","true","0.2","-3.2","false","22","35.2","0.2","logs/drive_aim_v4q_centered_handoff_negative_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_170127.log"
"v4q","positive","True","valid","PARTIAL","23","30","0.767","true","0.1","-0","true","19","8.3","0.1","logs/drive_aim_v4q_centered_handoff_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r1_20260902_170307.log"
"v4q","positive","True","valid","PARTIAL","21","30","0.7","true","0","-0.1","true","23","7.1","0","logs/drive_aim_v4q_centered_handoff_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r2_20260902_170359.log"
"v4q","positive","True","valid","PARTIAL","23","30","0.767","true","0","-0.1","true","20","7.6","0","logs/drive_aim_v4q_centered_handoff_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r3_20260902_170453.log"
"v4q","positive","True","valid","PARTIAL","23","30","0.767","true","0","-0","true","21","17.3","0","logs/drive_aim_v4q_centered_handoff_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r4_20260902_170545.log"
"v4q","positive","True","valid","PARTIAL","18","30","0.6","true","0","0.1","true","22","15.4","0","logs/drive_aim_v4q_centered_handoff_positive_20260902_tongji_tongji_outpost_converged_oneface16_driveaim_rel30_pitch0_30_r5_20260902_170638.log"
